order_id,customer_id,name,age,city,product_category,product_name,price,quantity,discount_pct,purchase_amount,payment_method,device,session_duration_mins,order_date,returned
ORD001,C001,Arun,21,Chennai,Electronics,Laptop,60000,1,0.1,54000.0,UPI,Mobile App,45,2026-01-05 10:30,No
ORD002,C002,Priya,25,Coimbatore,Electronics,Wireless Mouse,1200,2,0.0,2400.0,Credit Card,Desktop,15,2026-01-06 14:15,No
ORD003,C003,Ravi,31,Chennai,Electronics,Mechanical Keyboard,2500,1,0.05,2375.0,UPI,Mobile App,20,2026-01-07 16:45,No
ORD004,C004,Meena,22,Madurai,Fashion,Running Shoes,3500,1,0.15,2975.0,COD,Mobile App,30,2026-01-08 11:20,Yes
ORD005,C005,Karthik,28,Bengaluru,Grocery,Basmati Rice,650,3,0.0,1950.0,Net Banking,Desktop,10,2026-01-09 09:00,No
ORD006,C006,Deepa,35,Chennai,Home & Living,Desk Lamp,1500,2,0.1,2700.0,UPI,Mobile App,25,2026-01-10 18:30,No
ORD007,C008,Suresh,32,Hyderabad,Electronics,Smartphone,32000,1,0.1,28800.0,UPI,Mobile App,127,2026-02-06 18:47,No
ORD008,C009,Ananya,22,Bengaluru,Grocery,Tea Pack,450,3,0.0,1350.0,UPI,Mobile App,39,2026-06-14 08:35,No
ORD009,C010,Vijay,36,Chennai,Home & Living,Cookware Set,4800,1,0.0,4800.0,Net Banking,Mobile App,70,2026-01-12 20:51,No
ORD010,C011,Divya,27,Coimbatore,Fashion,Cotton T-Shirt,800,2,0.0,1600.0,UPI,Tablet,45,2026-02-03 14:06,No
ORD011,C012,Rajesh,42,Madurai,Grocery,Tea Pack,450,3,0.0,1350.0,COD,Mobile App,46,2026-04-17 09:35,No
ORD012,C013,Kavita,41,Kochi,Grocery,Tea Pack,450,3,0.0,1350.0,UPI,Mobile App,40,2026-03-26 09:54,No
ORD013,C014,Manoj,21,Chennai,Fashion,Running Shoes,3500,1,0.15,2975.0,UPI,Desktop,63,2026-04-11 11:42,No
ORD014,C015,Sneha,30,Hyderabad,Home & Living,Desk Lamp,1500,1,0.0,1500.0,UPI,Desktop,49,2026-04-18 12:59,No
ORD015,C016,Venkatesh,47,Bengaluru,Electronics,Wireless Mouse,1200,3,0.05,3420.0,UPI,Mobile App,56,2026-04-01 14:17,Yes
ORD016,C017,Pooja,23,Coimbatore,Home & Living,Cookware Set,4800,1,0.0,4800.0,Net Banking,Mobile App,73,2026-06-24 15:09,No
ORD017,C018,Suresh,28,Hyderabad,Home & Living,Cookware Set,4800,1,0.15,4080.0,Credit Card,Mobile App,69,2026-04-13 11:08,No
ORD018,C019,Ananya,22,Bengaluru,Home & Living,Memory Foam Pillow,1900,1,0.0,1900.0,Debit Card,Mobile App,47,2026-04-29 17:04,No
ORD019,C020,Vijay,35,Chennai,Grocery,Basmati Rice (5kg),650,4,0.05,2470.0,UPI,Desktop,57,2026-07-14 09:43,No
