customer_id,name,age,city
C001,Arun,21,Chennai
C002,Priya,25,Coimbatore
C003,Ravi,31,Chennai
C004,Meena,22,Madurai
C005,Karthik,28,Bengaluru
C006,Deepa,35,Chennai
C008,Suresh,32,Hyderabad
C009,Ananya,22,Bengaluru
C010,Vijay,36,Chennai
C011,Divya,27,Coimbatore
C012,Rajesh,42,Madurai
C013,Kavita,41,Kochi
C014,Manoj,21,Chennai
C015,Sneha,30,Hyderabad
C016,Venkatesh,47,Bengaluru
C017,Pooja,23,Coimbatore
C018,Suresh,28,Hyderabad
C019,Ananya,22,Bengaluru
C020,Vijay,35,Chennai
C007,Pooja,19,Coimbatore
